ticker,entry_date,expiry,status,strike,entry_spot,sigma_entry,riskfree,div_yield,premium_mid,half_spread_cost,days_held,realised_vol,pnl,theory_pnl,mark_source
AAPL,2026-07-27,2026-08-28,open,340.0,336.9100036621094,0.291542,0.03797,0.010383,23.325,0.425,2,0.147221,0.707054,0.54856,market_mid
GLD,2026-07-27,2026-08-28,open,376.0,374.6300048828125,0.216951,0.03797,0.00212,19.2,0.3,2,0.200954,-0.265727,0.080889,market_mid
IWM,2026-07-25,2026-08-28,open,292.0,292.0899963378906,0.207737,0.038,0.037327,14.72,0.27,3,0.160547,0.017047,0.343228,market_mid
MSFT,2026-07-25,2026-08-28,open,385.0,381.5799865722656,0.417443,0.038,0.00486,38.9,2.0,3,0.224084,-0.589578,1.666512,market_mid
NVDA,2026-07-27,2026-08-28,open,195.0,196.50999450683597,0.469614,0.03797,-0.008237,21.75,0.25,2,0.489939,0.252569,-0.065883,market_mid
QQQ,2026-07-27,2026-08-31,open,685.0,682.1199951171875,0.250557,0.03797,1.3e-05,42.23,0.51,2,0.307752,-0.505562,-0.615843,market_mid
SPY,2026-07-25,2026-08-28,open,741.0,738.1799926757812,0.155079,0.038,-0.007905,27.89,0.05,3,0.150344,-0.380078,0.060886,market_mid
TLT,2026-07-27,2026-08-28,open,83.5,83.75,0.100371,0.03797,0.048793,1.98,0.03,2,0.238184,-0.661777,-0.281887,market_mid
TSLA,2026-07-27,2026-08-28,open,310.0,309.2200012207031,0.472382,0.03797,-0.004601,34.475,0.225,2,0.414215,-0.511395,0.246105,market_mid
VXX,2026-07-27,2026-09-04,open,23.0,22.209999084472656,0.682576,0.03797,-0.019081,4.045,0.385,2,0.833844,-0.291426,-0.050519,market_mid
XLE,2026-07-27,2026-08-28,open,56.0,58.36000061035156,0.271915,0.03797,-0.03199,4.29,0.31,2,0.311356,-0.079689,-0.033396,market_mid
XLF,2026-07-27,2026-08-28,open,58.0,56.880001068115234,0.146064,0.03797,0.003231,2.12,0.2,2,0.276022,-0.436706,-0.15766,market_mid
XLK,2026-07-27,2026-08-28,open,165.0,174.3000030517578,0.373175,0.03797,0.017898,16.825,1.475,2,0.440321,-0.594362,-0.175003,market_mid
