snapshot_date,ticker,spot,riskfree,n_expiries,n_quotes,rho,eta,gamma,atm_vol_30d,atm_vol_91d,atm_vol_182d,term_slope,min_butterfly_g,calendar_min_gap,fit_ok
2026-07-25,AAPL,321.66,0.038,8,378,-0.336822,0.492873,0.614259,,,0.282432,,0.433551,0.00418539,True
2026-07-25,IWM,292.09,0.038,24,1178,-0.564481,0.990436,0.461822,0.208002,0.210201,0.215169,0.007167,0.278908,8.029e-05,True
2026-07-25,MSFT,381.58,0.038,16,921,-0.014317,0.337736,0.613759,0.432718,0.376208,0.366975,-0.065744,0.399164,0.00067045,True
2026-07-25,NVDA,208.76,0.038,16,729,-0.328769,0.376097,0.661428,0.43007,0.432985,0.432202,0.002132,0.311886,0.00203661,True
2026-07-25,QQQ,691.96,0.038,18,2296,-0.618154,0.839348,0.48245,0.262718,0.254259,0.257321,-0.005397,0.310331,0.00015807,True
2026-07-25,SPY,738.18,0.038,25,3852,-0.659707,1.165602,0.487137,0.153933,0.158541,0.168618,0.014685,0.260893,3.552e-05,True
2026-07-25,TSLA,319.69,0.038,10,582,-0.093395,0.588743,0.587101,,0.479194,0.486015,,0.505415,0.01597119,True
2026-07-26,AAPL,321.66,0.038,8,378,-0.336695,0.493054,0.614229,,,0.283373,,0.433486,0.00418615,True
2026-07-26,IWM,292.09,0.038,23,1138,-0.563152,0.975409,0.465853,0.211213,0.211532,0.215861,0.004648,0.279828,8.033e-05,True
2026-07-26,MSFT,381.58,0.038,16,921,-0.014264,0.338137,0.613587,0.436692,0.378548,0.367957,-0.068736,0.399082,0.00067012,True
2026-07-26,NVDA,208.76,0.038,16,729,-0.328685,0.376319,0.661358,0.445444,0.435779,0.433243,-0.012201,0.31185,0.00203657,True
2026-07-26,QQQ,691.96,0.038,18,2296,-0.617997,0.839654,0.482437,0.266771,0.255713,0.258055,-0.008716,0.310302,0.0001581,True
2026-07-26,SPY,738.18,0.038,24,3764,-0.659574,1.132189,0.494097,0.156662,0.159565,0.169201,0.012538,0.26079,3.779e-05,True
2026-07-26,TSLA,319.69,0.038,10,582,-0.093373,0.589608,0.586693,,0.482331,0.487478,,0.505321,0.01597017,True
2026-07-27,AAPL,336.91,0.03797,16,671,-0.332761,0.769922,0.466777,0.295356,0.282168,0.281525,-0.013831,0.32204,0.0010043,True
2026-07-27,GLD,374.63,0.03797,18,1405,-0.109962,1.212933,0.420142,0.217105,0.222466,0.226802,0.009697,0.290322,0.00083636,True
2026-07-27,IWM,292.91,0.03797,22,1243,-0.572223,1.152658,0.43853,0.20621,0.208008,0.214248,0.008038,0.279297,0.00012345,True
2026-07-27,MSFT,389.1,0.03797,15,895,-0.000739,0.224395,0.703944,0.436742,0.375834,0.363411,-0.07333,0.404661,0.00173676,True
2026-07-27,NVDA,196.51,0.03797,16,718,-0.305856,0.464743,0.608662,0.454761,0.433226,0.43119,-0.02357,0.316657,0.00229906,True
